Symbol,Datetime,Open,Close,reason,prev_close,gap_pct_raw
BMNR,2022-04-19,26.8,26.8,r2_split_like,54.0,-50.37037037037037
BMNR,2023-04-21,13.0,18.0,r2_split_like,19.8,-34.343434343434346
BMNR,2025-03-12,5.04,7.6,r2_split_like,7.6,-33.68421052631578
BMNR,2025-05-15,5.25,8.0,r2_split_like,8.0,-34.375
BMNR,2025-05-30,12.0,15.0,r2_split_like,8.0,50.0
BRAV,2026-01-21,1e-06,1e-06,r2_split_like,9.9999997e-05,-98.99999996999999
BRAV,2026-01-22,9.9999997e-05,9.9999997e-05,r2_split_like,1e-06,9899.9997
BRAV,2026-03-10,9.9999997e-05,9.9999997e-05,r2_split_like,1e-06,9899.9997
BRO,2018-03-29,25.39,25.44,r2_split_like,51.02,-50.235201881615055
CFMOF,2025-12-26,91.57,91.57,r2_split_like,62.18,47.26600192988098
CGNX,2013-09-17,30.67,31.19,r2_split_like,61.34,-50.0
CLSK,2013-03-07,0.3833,0.3833,r2_split_like,0.26,47.423076923076906
CLSK,2014-03-31,0.6667,0.6667,r2_split_like,0.3367,98.010098010098
CLSK,2015-05-12,0.3367,0.3367,r2_split_like,2.0,-83.165
CLSK,2015-05-13,4.0,4.0,r2_split_like,0.3367,1088.001188001188
CLSK,2015-07-29,2.0,1.9,r2_split_like,3.0,-33.33333333333333
CLSK,2016-05-20,3.0,3.0,r2_split_like,2.0,50.0
CLSK,2017-03-23,3.0,3.0,r2_split_like,4.5,-33.33333333333333
CLSK,2017-05-23,2.6,3.45,r2_split_like,3.9,-33.33333333333333
CLSK,2018-05-24,2.25,2.25,r2_split_like,1.51,49.00662251655629
CLSK,2018-10-16,5.0,3.7,r2_split_like,2.5,100.0
CMCSA,2017-02-21,38.0148,37.8748,r2_split_like,75.2898,-49.508698389423266
CME,2012-07-23,50.64,51.12,r2_split_like,257.0,-80.29571984435798
CNC,2015-02-20,60.09,59.85,r2_split_like,120.67,-50.20303306538493
CNC,2019-02-07,64.35,63.91,r2_split_like,126.16,-48.993341788205456
CNL,2024-07-16,2.81,2.81,r2_split_like,0.715,293.00699300699307
COHR,2011-06-27,24.5,24.78,r2_split_like,48.76,-49.75389663658736
CPRT,2012-03-29,26.24,26.24,r2_split_like,52.8,-50.303030303030305
CPRT,2017-04-11,30.16,30.12,r2_split_like,60.08,-49.80026631158455
CRM,2013-04-18,41.17,41.03,r2_split_like,167.35,-75.39886465491485
CRTD,2026-02-19,215.96,215.96,r2_split_like,10.94,1874.040219378428
CRTD,2026-02-23,10.94,10.94,r2_split_like,218.76,-94.99908575607972
CRVL,2013-06-27,29.28,29.14,r2_split_like,58.09,-49.595455327939405
CSGP,2021-06-28,88.2,84.92,r2_split_like,882.6501,-90.0073653195077
CTSH,2014-03-10,53.48,52.9,r2_split_like,107.22,-50.12124603618729
CWT,2011-06-13,17.94,17.91,r2_split_like,35.59,-49.592582186007306
DCH,2020-03-16,3.3,4.3,r2_split_like,4.92,-32.926829268292686
DCI,2012-03-26,35.38,35.53,r2_split_like,70.24,-49.62984054669703
DD,2019-04-02,36.5199,36.49,r2_split_like,54.4201,-32.892626070146875
DFTX,2019-03-21,0.074,0.074,r2_split_like,0.05,47.999999999999986
DFTX,2020-04-23,0.745,0.46,r2_split_like,0.487,52.97741273100617
DHR,2010-06-14,39.79,39.6599,r2_split_like,78.67,-49.421634676496765
DORM,2012-06-18,22.59,22.28,r2_split_like,45.66,-50.525624178712214
DUK,2012-07-03,69.26,68.69,r2_split_like,23.28,197.5085910652921
DVA,2013-09-09,55.24,56.04,r2_split_like,110.59,-50.049733248937514
ELE,2025-09-16,16.5,15.7,r2_split_like,1.65,900.0
EMN,2011-10-04,33.56,35.8,r2_split_like,68.46,-50.97867367806017
ENS,2011-10-20,19.96,19.43,r2_split_like,199.3,-89.98494731560461
ENSG,2015-12-24,21.4125,20.5987,r2_split_like,42.8624,-50.04362798163425
EQX,2015-08-04,0.2278,0.2278,r2_split_like,0.3483,-34.59661211599196
EQX,2016-01-29,0.1043,0.1043,r2_split_like,0.1568,-33.482142857142854
EQX,2019-08-20,5.5842,5.97,r2_split_like,1.105,405.3574660633485
ES,2013-04-30,44.95,45.33,r2_split_like,90.12,-50.12205947625389
ESPR,2021-12-03,6.09,5.25,r2_split_like,8.97,-32.107023411371244
ETN,2011-03-01,55.82,53.55,r2_split_like,110.78,-49.61184329301318
EW,2010-05-28,51.7398,50.5302,r2_split_like,103.8504,-50.178526033602175
EW,2015-12-14,81.12,80.5299,r2_split_like,159.7098,-49.207875784704505
EW,2020-06-01,75.3,74.27,r2_split_like,224.7201,-66.49164894462044
EXPI,2014-12-12,0.295,0.3,r2_split_like,0.195,51.28205128205126
EXPO,2018-06-08,51.9,50.2,r2_split_like,103.65,-49.927641099855286
