ticker,event_date,event_type,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,news_same_day,news_prev_day,news_sources,news_titles_same_day,news_titles_prev_day,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
CEG,2024-09-20,news_gap,208.5,235.16,254.98,12.7866,22.2926,8.4283,2.3733,3.4975,5.3876,6.3739,99.8507,2024-09-23,259.56,257.12,-0.9401,273.72,234.58,7.3496,-8.0006,True,False,pr,"[pr] Constellation to Launch Crane Clean Energy Center, Restoring Jobs and Carbon-free Power to the Grid",,Utilities,Renewable Utilities,104890322051.1757,3832706881.96,3.8B,465095149.58,79627722048.59999,10B-100B,100B+
SMMT,2024-09-09,news_gap,12.27,16.06,19.14,30.8883,55.9902,19.1781,1.9739,4.8296,15.6484,11.5931,99.8747,2024-09-10,19.27,22.97,19.2008,19.69,20.89,2.8736,9.1432,False,True,pr,,[pr] Summit Therapeutics Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4),Healthcare,Biotechnology,14693318350.0,915686310.0,916M,19616178.0,14840639220.0,10B-100B,10B-100B
GLW,2024-07-08,news_gap,38.44,40.9,43.05,6.3996,11.9927,5.2567,0.9667,1.5123,6.6197,7.9302,99.863,2024-07-09,43.55,44.67,2.5718,38.33,41.37,-10.964,-3.9024,True,False,pr,"[pr] Corning Expects Second-Quarter Core Sales to Exceed Guidance, with Core EPS at the High End of or Slightly Above Guided Range",,Technology,"Hardware, Equipment & Parts",170664480698.0,1526746725.0,1.5B,322805259.8,37050458366.25,10B-100B,100B+
COHR,2024-06-03,news_gap,57.06,61.05,70.1,6.9926,22.8531,14.8239,1.6202,2.3796,4.316,9.6039,99.5862,2024-06-04,68.42,65.89,-3.6977,73.86,58.93,5.3638,-15.9344,True,False,pr,[pr] Coherent Appoints Jim Anderson as Chief Executive Officer,,Technology,"Hardware, Equipment & Parts",59308679883.0,757848225.9,758M,90036400.3,11116115771.8,10B-100B,10B-100B
HWM,2024-05-02,news_gap,66.78,74.0,77.1,10.8116,15.4537,4.1892,0.5332,1.4618,20.2761,10.5714,99.8939,2024-05-03,78.21,78.89,0.8695,84.63,79.33,9.7665,2.8923,True,False,pr,[pr] Howmet Aerospace Reports First Quarter 2024 Results,,Industrials,Industrial - Machinery,107932994614.0,683409851.1,683M,193158633.76,30848286939.3,10B-100B,100B+
GRMN,2024-05-01,news_gap,144.47,153.25,163.42,6.0774,13.1169,6.6362,0.8796,1.4844,6.9092,8.8368,99.6393,2024-05-02,164.0,165.33,0.811,163.85,161.49,0.2631,-1.181,True,False,pr,[pr] Garmin announces first quarter 2024 results,,Technology,"Hardware, Equipment & Parts",46701625926.0,451974289.24,452M,106395069.5,31516561184.52,10B-100B,10B-100B
TECH,2024-05-01,news_gap,63.21,70.54,73.46,11.5963,16.2158,4.1395,0.8707,1.8242,13.3189,8.8894,100.0,2024-05-02,74.45,75.6,1.5447,77.19,71.24,5.0776,-3.0221,True,True,pr,[pr] BIO-TECHNE RELEASES THIRD QUARTER FISCAL 2024 RESULTS || [pr] BIO-TECHNE DECLARES DIVIDEND,[pr] BIO-TECHNE APPOINTS DR. JUDITH KLIMOVSKY TO BOARD OF DIRECTORS,Healthcare,Biotechnology,8584592011.0,228991862.72,229M,62468538.4,11501540448.46,10B-100B,1B-10B
RMD,2024-04-26,news_gap,183.42,203.02,218.06,10.6859,18.8856,7.4081,0.9065,1.8653,11.7876,10.125,99.9444,2024-04-29,214.11,217.19,1.4385,207.17,191.58,-4.994,-12.1434,False,True,pr,,[pr] ResMed Inc. Announces Results for the Third Quarter of Fiscal Year 2024,Healthcare,Medical - Instruments & Supplies,36846438102.0,944382970.4,944M,180227162.92,31630995313.1,10B-100B,10B-100B
NEM,2024-04-25,news_gap,38.6,40.33,43.41,4.4819,12.4611,7.637,1.4192,2.3628,3.1581,5.2738,99.7778,2024-04-26,43.24,42.73,-1.1795,41.98,41.45,-3.2942,-4.5151,True,True,pr,[pr] Newmont Reports First Quarter 2024 Results,"[pr] CopAur Minerals Receives $1,000,000 in Cash and Three Million Shares of Omega Pacific Minerals Inc.",Basic Materials,Gold,127775390323.0,1589311639.68,1.6B,476932168.9,46342465485.24,10B-100B,100B+
WSM,2024-03-13,news_gap,120.53,131.56,141.94,9.1512,17.7632,7.8899,1.1938,1.8654,7.6655,9.5223,99.8039,2024-03-14,144.0,142.82,-0.8194,144.43,157.81,1.7543,11.1808,True,False,pr,"[pr] Williams-Sonoma, Inc. announces a 26% quarterly dividend increase and a new $1 billion stock repurchase authorization || [pr] Williams-Sonoma, Inc. announces fourth quarter and fiscal year 2023 results",,Consumer Cyclical,Specialty Retail,24550640000.0,1447602058.6,1.4B,180947443.92,16893131040.0,10B-100B,10B-100B
MSTR,2024-03-04,news_gap,107.94,120.0,133.4,11.1729,23.5872,11.1667,3.3305,5.7864,3.3547,4.0763,99.7193,2024-03-05,124.42,105.1,-15.5281,160.61,112.94,20.3973,-15.3373,True,False,pr,[pr] MicroStrategy Announces Proposed Private Offering of $600 Million of Convertible Senior Notes,,Technology,Software - Application,54786145121.0,7236950000.0,7.2B,1142412529.0,39629496579.200005,10B-100B,10B-100B
PWR,2024-02-22,news_gap,211.22,222.2,232.93,5.1984,10.2784,4.829,0.7056,1.6068,7.3677,6.3968,99.6625,2024-02-23,235.51,234.39,-0.4756,255.92,251.95,9.8699,8.1655,True,False,pr,[pr] QUANTA SERVICES REPORTS FOURTH QUARTER AND FULL-YEAR 2023 RESULTS,,Industrials,Engineering & Construction,114917448600.0,539722103.0,540M,201665613.0,34953475800.0,10B-100B,100B+
SMCI,2024-02-22,news_gap,73.42,86.5,97.55,17.8153,32.8657,12.7746,2.9883,6.9144,5.9616,4.7532,99.9719,2024-02-23,93.82,86.0,-8.3351,97.27,76.19,-0.287,-21.8965,False,True,pr,,[pr] Supermicro Announces Proposed Offering of $1.5 Billion of Convertible Senior Notes Due 2029,Technology,Computer Hardware,19720496220.0,24751068850.0,24.8B,8821242156.0,58431376950.0,10B-100B,10B-100B
TOST,2024-02-16,news_gap,19.2,21.35,22.42,11.1979,16.7708,5.0117,1.6437,3.015,6.8126,5.5624,99.5025,2024-02-20,21.52,21.78,1.2082,23.25,22.19,3.7021,-1.0259,False,True,pr,,[pr] Toast Announces Fourth Quarter and Full Year 2023 Financial Results,Technology,Software - Infrastructure,17369609865.0,700593051.5,701M,152827606.845,12996849517.36,10B-100B,10B-100B
APP,2024-02-15,news_gap,46.87,54.69,58.5,16.6844,24.8133,6.9665,1.1429,3.1529,14.5982,7.87,99.439,2024-02-16,58.52,59.87,2.3069,68.15,70.9,16.4957,21.1966,False,True,pr,,[pr] AppLovin Announces Fourth Quarter and Full Year 2023 Financial Results,Technology,Software - Application,164842158162.0,941998882.5,942M,157867277.255,19652461335.0,10B-100B,100B+
MFC,2024-02-15,news_gap,22.63,23.59,24.79,4.2422,9.5449,5.0869,0.5598,1.0532,7.5776,9.063,100.0,2024-02-16,24.55,24.69,0.5703,24.07,22.82,-2.9044,-7.9468,False,True,pr,,[pr] Manulife files 2023 Audited Annual Financial Statements and Related MD&A || [pr] Manulife declares preferred share dividends || [pr] Manulife increases common shareholders' dividend by 9.6% || [pr] Manulife Reports Full Year and Fourth Quarter 2023 Results,Financial Services,Insurance - Life,76023529780.0,164995497.12,165M,65198541.22,41566384600.0,10B-100B,10B-100B
RS,2024-02-15,news_gap,294.65,319.88,332.34,8.5627,12.7914,3.8952,0.4955,1.2454,17.2813,10.2706,99.9718,2024-02-16,331.4,326.43,-1.4997,320.71,322.12,-3.4994,-3.0752,True,True,pr,"[pr] Reliance, Inc. Reports Fourth Quarter and Full Year 2023 Financial Results and Unveils Corporate Rebranding","[pr] Reliance Steel & Aluminum Co. Agrees to Acquire American Alloy Steel, Inc.",Basic Materials,Steel,18392782477.0,199632649.92,200M,52880717.0,16965465801.48,10B-100B,10B-100B
AVTR,2024-02-14,news_gap,22.14,23.45,24.4,5.9169,10.2078,4.0512,1.0416,1.546,5.6807,6.6027,99.5812,2024-02-15,24.41,24.05,-1.4748,25.08,24.6,2.7869,0.8197,True,False,pr,[pr] Avantor® Reports Fourth Quarter and Full Year 2023 Results,,Healthcare,Medical - Instruments & Supplies,5578111634.0,477016657.2,477M,145261984.73,16659231808.8,10B-100B,1B-10B
SMCI,2024-01-19,news_gap,31.14,34.76,42.34,11.6249,35.9666,21.8067,1.6069,3.8829,7.2346,9.2628,99.6886,2024-01-22,45.64,43.62,-4.4259,78.76,89.65,86.0179,111.7383,False,True,pr,,[pr] Supermicro Provides Second Quarter Fiscal 2024 Business Update,Technology,Computer Hardware,19720496220.0,9785839697.8,9.8B,860425906.35,25361194260.000004,10B-100B,10B-100B
