Symbol,Description,Price,Price - Currency,Pre-market Change %,Price Change % 1 day,Post-market Change %,Market capitalization,Market capitalization - Currency,Price to earnings ratio,Price * Volume (Turnover) 1 day,Price * Volume (Turnover) 1 day - Currency,Price * Volume (Turnover) 1 month,Price * Volume (Turnover) 1 month - Currency,Upcoming earnings date,"Net income growth %, Quarterly QoQ","Revenue growth %, Quarterly QoQ",Industry,Sector
ADBE,Adobe Inc.,258.61,USD,-1.7514756375139817,-0.23147255121328883,-0.09806271992575917,106159398986.99998,USD,15.480530364251294,1704433857.5,USD,23204582647.95,USD,2026-03-12,4.740406320541761,3.440213760855043,Packaged software,Technology services
INTU,Intuit Inc.,380.55,USD,-0.1703622162813949,-0.259474760182421,0.2522401786887412,105897185513.00002,USD,26.060427595085805,1568915556.9,USD,25719832511.4,USD,2026-02-26,17.060367454068242,1.4095536413469067,Packaged software,Technology services
SO,Southern Company (The),94.3,USD,1.4097843240399826,-0.7890583903208838,0.053022269353125304,105558596910,USD,24.088076019209154,1010268527.8,USD,10916164793.8,USD,2026-04-23,-75.68673290473407,-10.763134347437045,Electric utilities,Utilities
HWM,Howmet Aerospace Inc.,258.1,USD,-0.5173099880620817,2.7059291683247158,1.4082913599380025,103482632830,USD,69.49006515534974,809485224.4000001,USD,11733293364.1,USD,2026-04-30,-3.3766233766233764,3.7817137386309243,Aerospace & defense,Electronic technology
TT,Trane Technologies plc,467.12,USD,-0.14880631456360882,0.7397183463089578,0,103388560335,USD,35.98850512723715,356534478.32,USD,9133993477.76,USD,2026-05-06,-30.238319962443015,-10.4135829345147,Industrial machinery,Producer manufacturing
NOC,Northrop Grumman Corporation,723.56,USD,0.15742261185826106,-1.8062887619254495,0.04698988335452925,102688814878.00002,USD,24.79023410867055,538432832.64,USD,9389576617.4,USD,2026-04-23,29.72727272727273,12.366880936390674,Aerospace & defense,Electronic technology
MELI,"MercadoLibre, Inc.",1996.87,USD,-0.6851819388445101,0.016027647692265976,0.15674530640452855,101235680977,USD,48.741475178551376,721095716.31,USD,14060686533.81,USD,2026-02-24,-19.50286806883365,9.116347569955817,Internet retail,Retail trade
SPOT,Spotify Technology S.A.,490.6,USD,0.04327309443837283,1.0941911022275346,0.05136567468405069,100981442824,USD,50.845174061291964,1042160974.8000001,USD,33874350268,USD,2026-04-29,30.064950368589617,5.636667595410163,Internet software/Services,Technology services
UPS,"United Parcel Service, Inc.",116.73,USD,-0.6318158213605712,1.0299463389302386,0.5165767154972967,99115646388,USD,17.802620140615232,577518406.5600001,USD,10779458814.630001,USD,2026-04-28,36.61327231121281,14.301045166106757,Air freight/Couriers,Transportation
DUK,Duke Energy Corporation (Holding Company),126.78,USD,0.24531138719633006,0.32444409274352815,0.17352894778356118,98591892945,USD,20.084596739698686,638916938.16,USD,9025260534.36,USD,2026-05-12,-16.678395496129486,-7.070943572933739,Electric utilities,Utilities
CRWD,"CrowdStrike Holdings, Inc.",388.6,USD,-0.8646420618752019,-7.945231439806691,-0.10293360782296296,97965453165,USD,,3248959470.8,USD,21232041179,USD,2026-03-03,56.231734792404254,5.585515915110287,Packaged software,Technology services
WDC,Western Digital Corporation,285.52,USD,-2.0514982260160997,0.298591351389316,-0.2696833847015907,96802107004.99998,USD,28.664652082684952,3000958816.56,USD,45369151127.119995,USD,2026-04-23,55.834053586862574,7.061745919091554,Computer peripherals,Electronic technology
SNDK,Sandisk Corporation,649.97,USD,-0.8517284129514364,4.6498897100259216,-0.533870794036652,95936196461,USD,,11128434706.23,USD,206451607074.49002,USD,2026-05-13,616.9642857142857,31.06585788561525,Computer peripherals,Electronic technology
GD,General Dynamics Corporation,351.42,USD,0.6378054975447446,-0.8240672800135348,0.022764782880878742,95020366057.99998,USD,22.73444777973295,314362761,USD,6756653590.9800005,USD,2026-04-29,7.932011331444759,11.404664135740296,Aerospace & defense,Electronic technology
VRT,"Vertiv Holdings, LLC",243.75,USD,-1.0532378836501286,0.2838805233275725,0.06153846153846387,93258379555,USD,71.472554539057,945548906.25,USD,25142092950,USD,2026-04-29,11.819322459222082,7.631362583152702,Electronic production equipment,Electronic technology
FCX,"Freeport-McMoRan, Inc.",64.34,USD,-1.070800703212405,2.8288317084865002,0.17096673919800967,92469549551,USD,42.49669749009247,944511907.74,USD,16983687930.300001,USD,2026-04-16,-39.130434782608695,-23.144617189791727,Other metals/Minerals,Non-energy minerals
FDX,FedEx Corporation,388.48,USD,-0.29754136869029246,1.3937464112335,0.03088962108731583,91340514917,USD,21.429359458087863,587686716.8000001,USD,11419796928,USD,2026-03-19,16.038882138517618,5.507103039021759,Air freight/Couriers,Transportation
STX,Seagate Technology Holdings PLC,411.11,USD,-0.8044599848399687,0.5232657652150491,-0.4189876188854625,89652012125,USD,46.49145622943219,1217940508.26,USD,24397658415.760002,USD,2026-04-29,8.014571948998178,7.455306200076074,Computer peripherals,Electronic technology
SHW,Sherwin-Williams Company (The),360.63,USD,-0.2237073907329245,0.8444954000167729,0,89355014717,USD,35.145697300458046,596082802.59,USD,9560377032.3,USD,2026-04-28,-42.76797503300924,-11.98924223836935,Industrial specialties,Process industries
