timestamp,underlying_close,expiry,right,strike,option_bid,option_ask,option_mid,option_last,option_volume,seconds_to_expiry,iv_from_mid,model_price_from_mid_iv,risk_free_rate,dividend_yield,model_price_from_prev_iv,source_flags
2026-05-15 13:30:00+00:00,14.0221,20260618,C,15.0,2.0,2.4,2.2,2.3,3.0,2961000.0,1.5006448772568621,2.200000000000002,0.045,0.0,,quote_mid;trade_last;iv_solved
2026-05-15 13:30:00+00:00,14.0221,20260618,C,20.0,0.8,1.3,1.05,1.3,10.0,2961000.0,1.5537087583151221,1.0499999999999998,0.045,0.0,,quote_mid;trade_last;iv_solved
2026-05-15 13:35:30+00:00,14.3,20260618,C,15.0,2.0,2.45,2.225,2.2,0.0,2960670.0,1.4277438970978595,2.2249999999999996,0.045,0.0,2.2797036684058742,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:35:30+00:00,14.3,20260618,C,20.0,0.9,1.1,1.0,0.95,0.0,2960670.0,1.4650533729777786,0.9999999999999987,0.045,0.0,1.0305602940872274,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:35:40+00:00,14.2638,20260618,C,15.0,2.0,2.45,2.225,2.2,0.0,2960660.0,1.4391629192875888,2.2250000000000005,0.045,0.0,2.2052206929082194,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:35:40+00:00,14.2638,20260618,C,20.0,1.0,1.1,1.05,1.0,3.0,2960660.0,1.5047995272247152,1.0500000000000007,0.045,0.0,0.9890339059661715,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:35:50+00:00,14.235,20260618,C,15.0,2.0,2.45,2.225,2.25,1.0,2960650.0,1.4482470598198725,2.2249999999999996,0.045,0.0,2.209292804801045,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:35:50+00:00,14.235,20260618,C,20.0,1.0,1.1,1.05,1.0,0.0,2960650.0,1.510606216893644,1.0500000000000003,0.045,0.0,1.0410653013962547,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:36:00+00:00,14.22,20260618,C,15.0,2.0,2.45,2.225,2.25,0.0,2960640.0,1.4529793247928589,2.2249999999999988,0.045,0.0,2.216825447043738,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:36:00+00:00,14.22,20260618,C,20.0,1.0,1.1,1.05,1.0,0.0,2960640.0,1.5136354094951128,1.0500000000000007,0.045,0.0,1.0453427181401334,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:36:10+00:00,14.196,20260618,C,15.0,2.0,2.45,2.225,2.25,0.0,2960630.0,1.4605492510824587,2.225000000000003,0.045,0.0,2.211942316269913,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:36:10+00:00,14.196,20260618,C,20.0,1.0,1.1,1.05,1.0,0.0,2960630.0,1.518485781798153,1.0499999999999994,0.045,0.0,1.0425595438339479,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:36:20+00:00,14.21,20260618,C,15.0,2.0,2.45,2.225,2.25,0.0,2960620.0,1.4561374482029197,2.2249999999999988,0.045,0.0,2.232615433093714,quote_mid;trade_last;iv_solved;prev_iv_model
