ticker,inst_pct,insider_pct,float_pct
GRPN,147.13,20.28,47.11
GRRR,17.03,8.21,86.06
GSAT,26.75,59.88,40.1
GSHD,113.2,3.77,91.86
GT,94.45,4.06,89.16
GTLB,86.54,3.34,83.76
GTLS,104.83,0.58,99.45
GTX,98.53,1.04,98.87
GVA,118.4,0.94,99.22
GWRE,107.1,0.35,90.14
GXO,103.76,1.02,93.66
HAE,110.24,1.22,98.7
HALO,108.3,1.07,98.85
HE,85.06,0.31,99.62
HHH,92.52,0.96,50.89
HIMS,70.45,5.51,94.4
HIVE,38.44,0.39,98.88
HL,76.46,0.56,98.7
HNST,44.69,14.26,90.34
HOOD,73.95,0.72,99.16
HUBS,98.9,3.61,96.4
HUM,99.89,0.21,99.78
HUT,74.8,8.56,77.13
HWM,94.72,0.87,99.11
HYLN,25.82,28.08,70.41
HYMC,35.47,33.88,58.27
IAC,113.16,3.35,80.28
IBRX,17.7,62.47,37.63
IDCC,107.36,1.59,98.04
IDXX,98.3,0.22,99.62
IESC,97.73,3.06,46.74
IMSR,25.28,24.54,72.21
IMVT,54.01,56.07,38.66
INBX,82.25,23.16,57.05
INCY,106.68,1.88,83.83
INDI,109.45,1.1,98.54
INOD,54.1,5.08,96.03
INSM,105.8,0.52,91.54
INSP,123.02,1.14,88.38
INTA,90.76,10.77,66.55
INTC,66.01,14.67,91.22
IONQ,56.38,0.74,99.26
IONS,107.19,0.61,99.21
IOT,102.84,3.87,96.08
IOVA,67.74,0.34,86.88
IPGP,72.34,39.46,64.86
IPI,61.59,19.02,78.87
IR,107.09,0.21,99.68
IRDM,89.9,12.24,88.07
IREN,49.22,3.52,86.43
IRTC,110.25,1.16,93.7
IRWD,98.85,3.16,82.04
ISRG,91.52,0.51,98.03
IT,118.29,3.54,91.03
ITRI,122.89,1.77,98.25
JANX,102.84,1.7,64.16
JAZZ,107.92,3.08,96.9
JBL,97.79,1.19,98.02
JOBY,41.38,32.59,67.39
KALA,0.62,1.24,99.99
KBR,100.02,1.2,98.72
KD,83.41,1.97,92.61
KEEL,50.09,4.55,95.42
KEYS,92.49,0.58,99.39
KGC,68.75,0.17,99.45
KLIC,94.83,3.31,96.77
KMX,111.61,0.45,92.41
KOD,99.69,5.18,62.76
KODK,38.63,35.57,72.94
KOPN,53.16,6.94,81.89
KRMN,97.83,6.76,77.47
KRYS,99.54,10.97,79.44
KSS,109.46,3.92,98.43
KTOS,93.96,1.33,98.52
KVYO,101.64,1.14,99.31
KWR,93.44,21.97,77.92
LAC,32.63,6.99,95.36
LAES,11.55,2.69,77.0
LAR,40.44,15.74,84.12
LBRDK,88.73,7.29,104.66
LBTYA,103.38,4.09,157.97
LBTYK,76.05,14.6,184.39
LCID,62.14,10.37,44.15
LEU,84.22,4.32,99.77
LGN,92.02,0.25,74.62
LGND,107.65,2.37,97.44
LITE,105.78,0.76,91.47
LIVN,112.92,0.42,99.49
LKQ,112.81,0.37,99.3
LNTH,116.42,2.09,89.65
LPLA,106.81,0.39,99.31
LQDA,71.1,12.66,70.11
LSCC,102.77,0.64,99.17
LTBR,49.5,5.06,94.87
LUMN,73.55,8.03,91.96
LUNR,101.22,5.62,81.23
LWLG,28.01,0.97,98.55
LXRX,78.58,1.12,59.1
LYB,78.04,20.15,79.75
LYFT,108.64,1.33,89.92
LZ,98.35,5.62,67.87
M,99.39,1.52,98.38
MARA,69.09,0.9,97.84
MASI,104.78,6.22,84.6
MCHP,101.92,1.78,97.95
MDB,94.15,2.65,97.38
MDGL,107.07,5.89,60.07
MDXG,76.71,2.1,79.2
MELI,84.59,6.96,99.78
MGA,75.67,5.29,99.75
MGNI,93.8,1.3,98.56
MIDD,109.18,1.59,83.31
MIRM,114.54,1.39,86.03
MLM,101.02,0.81,99.31
MLTX,78.7,8.42,52.34
MLYS,106.92,0.56,70.23
MMYT,97.0,16.66,30.76
MNDY,87.78,15.72,83.49
MNKD,59.31,1.54,98.04
MOD,107.68,2.16,97.77
MOG.A,,,
MOH,112.06,1.42,93.07
MP,70.85,19.62,81.02
MRNA,78.78,7.31,93.26
MRVL,87.68,0.69,99.57
MSTR,65.21,0.24,95.56
MTCH,109.13,0.74,99.29
MTH,101.55,2.54,97.43
MTSI,100.13,9.26,90.82
MTZ,76.01,21.51,76.77
MU,83.17,0.25,99.64
MUSA,87.74,9.81,90.32
MVST,25.39,52.79,47.57
MXL,90.63,5.87,93.31
MYRG,102.88,1.85,98.32
NATL,95.38,1.27,99.31
NB,37.84,2.26,97.7
NBIS,66.26,3.69,95.02
NBIX,104.29,1.08,98.75
NEGG,0.63,95.02,6.56
NEOG,114.23,0.95,99.45
NET,90.03,0.65,98.92
NFLX,88.06,0.57,99.29
NG,80.25,1.3,70.69
NGNE,88.49,7.07,44.26
NKLR,9.4,78.08,57.04
NKTR,80.43,0.45,86.25
NNE,46.85,17.77,82.13
NRG,95.18,4.41,99.58
NSIT,103.91,1.23,98.28
NTAP,106.11,0.56,99.45
NTGR,102.91,4.11,89.28
NTLA,76.82,3.88,95.91
NTNX,91.72,0.46,93.86
NUE,79.61,2.08,97.6
NUVL,113.3,2.78,66.76
NVAX,69.48,5.08,86.03
NVCR,86.94,9.96,82.75
NVDA,71.53,3.98,95.89
NVMI,70.17,0.1,99.7
NVTS,51.88,7.2,88.92
NWL,98.98,1.38,92.04
NWSA,111.49,0.03,151.13
NXPI,103.01,0.14,99.81
NXT,113.32,0.67,97.57
OCGN,34.36,1.68,93.6
OGN,77.96,0.47,99.42
OKLO,55.31,16.04,84.21
OKTA,98.97,0.56,98.8
OLLI,119.03,0.34,99.57
OLMA,119.24,1.8,73.48
OMCL,105.8,2.25,92.23
OMER,44.69,3.56,96.44
ON,109.4,0.34,100.25
ONDS,48.0,1.93,81.33
OPEN,49.86,4.92,98.35
OPK,26.95,49.95,44.08
OPLN,102.27,16.74,83.16
ORBS,24.49,60.43,69.2
ORKA,95.49,1.23,84.7
OSCR,67.62,5.38,93.72
OSK,105.82,0.72,99.26
OUST,49.94,3.17,91.39
P,85.69,4.97,94.52
PAAS,61.06,0.06,99.91
PACB,53.78,8.77,97.82
PACS,30.81,69.53,30.19
PANW,85.32,0.76,99.16
PATH,83.38,9.55,90.43
PAYC,101.66,13.79,85.56
PBYI,74.97,15.49,76.43
PCG,99.0,0.29,81.91
PCRX,115.27,1.77,85.66
PCVX,113.9,0.5,91.56
PEGA,60.76,47.83,52.19
PFGC,102.91,4.2,98.02
PGEN,71.19,13.71,53.2
PGY,54.18,9.17,93.56
PH,91.06,0.19,99.69
PI,107.87,2.78,96.77
PINS,115.85,1.39,98.87
PL,82.23,1.4,88.57
PLAB,97.17,3.18,97.51
PLTR,64.38,3.5,91.65
PLUG,69.23,4.54,95.36
PODD,105.21,0.33,99.59
POET,36.76,0.07,83.4
POWL,96.39,20.63,79.19
PPTA,73.97,6.87,67.04
PRAX,117.55,0.28,86.21
PRGS,106.34,2.29,98.3
PRI,96.56,0.56,99.46
PRTA,90.76,20.18,70.07
PSKY,31.48,50.9,49.13
PTGX,125.17,0.71,81.62
QBTS,49.37,2.17,97.54
QCOM,86.51,0.12,99.79
QDEL,128.52,0.9,91.08
QLYS,109.04,0.5,99.17
QRVO,98.54,1.47,92.76
QS,41.97,13.56,88.29
QUBT,43.48,11.94,88.86
