month,ticker,window_start,window_end,z_win,ret_2w_pct,mcap_at_start,turnover_min,turnover_median,turnover_thresh,sigma_d_pct,end_vs_high,up_day_ratio,max_day_contrib,run_days,sector,industry,mcap_bucket,market_cap_now,inst_pct,float_pct
2026-02,CRCL,2026-02-25,2026-03-10,4.245,92.423,20553073078.0,1609991488.0,2698835134.0,30000000.0,4.876,0.97,0.8,0.464,1,Financial Services,Financial - Capital Markets,10B-100B,32572442973.0,64.18,83.16
2026-02,NKTR,2026-02-10,2026-02-24,4.152,84.57,1859886400.0,64125621.0,102917804.0,30000000.0,4.667,0.904,0.6,0.673,1,Healthcare,Biotechnology,1B-10B,2614468882.0,80.43,86.25
2026-02,ZD,2026-02-26,2026-03-11,4.122,51.714,1046194693.0,33595096.0,45756419.0,30000000.0,3.198,0.806,0.6,0.942,2,Communication Services,Advertising Agencies,1B-10B,1585183605.0,116.52,90.17
2026-02,DNTH,2026-02-26,2026-03-11,4.12,65.491,2903323607.0,33974732.0,68370244.0,30000000.0,3.867,0.975,0.8,0.387,1,Healthcare,Biotechnology,1B-10B,4762522174.0,121.52,99.87
2026-02,RRX,2026-02-02,2026-02-13,4.029,36.341,11324815697.0,220517128.0,330222664.0,30000000.0,2.433,0.96,0.9,0.371,1,Industrials,Industrial - Machinery,10B-100B,14068147786.0,107.13,99.51
2026-01,CRVS,2026-01-20,2026-02-02,7.816,160.621,1800375991.0,47404160.0,100649042.0,30000000.0,3.875,0.778,0.5,1.021,1,Healthcare,Biotechnology,1B-10B,1329469613.0,85.57,86.52
2026-01,ERAS,2026-01-07,2026-01-21,7.641,176.86,1606833710.0,35978935.0,92540104.0,30000000.0,4.214,0.964,0.9,0.347,1,Healthcare,Biotechnology,1B-10B,3244747375.0,85.32,71.34
2026-01,IBRX,2026-01-12,2026-01-26,7.353,166.524,2712646943.0,43737848.0,394852031.0,30000000.0,4.216,0.75,0.8,0.341,4,Healthcare,Biotechnology,1B-10B,8494041200.0,17.7,37.63
2026-01,DVA,2026-01-30,2026-02-12,6.849,39.845,7019627451.0,120539458.0,273516704.0,30000000.0,1.548,0.982,0.8,0.573,10,Healthcare,Medical - Care Facilities,1B-10B,12771305001.0,52.97,53.24
2026-01,ALMS,2026-01-06,2026-01-20,6.537,213.598,2064445073.0,37704503.0,101148411.0,30000000.0,5.529,0.991,0.8,0.586,1,Healthcare,Biotechnology,1B-10B,3009536071.0,100.3,69.55
2026-01,RVMD,2026-01-02,2026-01-15,6.445,54.765,16799372459.0,109176640.0,456653404.0,30000000.0,2.143,0.993,0.7,0.576,9,Healthcare,Biotechnology,10B-100B,30645780056.0,97.53,91.31
2026-01,ARW,2026-01-26,2026-02-06,6.291,35.951,6020510645.0,47925125.0,108310102.0,30000000.0,1.544,0.987,0.9,0.381,3,Technology,Technology Distributors,1B-10B,10357691831.0,110.38,99.41
2026-01,IPGP,2026-01-30,2026-02-12,5.816,61.96,3922214731.0,42322554.0,67085538.0,30000000.0,2.622,0.974,0.7,0.63,4,Technology,Semiconductors,1B-10B,4392065581.0,72.34,64.86
2026-01,CGNX,2026-01-30,2026-02-12,5.779,50.09,6447089808.0,59781089.0,92440256.0,30000000.0,2.222,0.98,0.5,0.764,6,Technology,"Hardware, Equipment & Parts",1B-10B,11193372754.0,104.86,95.37
2026-01,AVT,2026-01-26,2026-02-06,5.74,31.064,4214396959.0,64785042.0,127729707.0,30000000.0,1.49,0.996,0.8,0.478,5,Technology,Technology Distributors,1B-10B,6796514831.0,107.72,99.19
2026-01,BKD,2026-01-16,2026-01-30,5.503,33.333,2913235396.0,45688947.0,77599289.0,30000000.0,1.653,0.996,0.8,0.35,4,Healthcare,Medical - Care Facilities,1B-10B,3058897165.0,112.6,98.62
2026-01,ENSG,2026-01-30,2026-02-12,5.207,26.079,10032737226.0,54736080.0,96421085.0,30000000.0,1.407,0.988,0.9,0.56,1,Healthcare,Medical - Care Facilities,10B-100B,9901235078.0,94.9,95.55
2026-01,SLAB,2026-01-28,2026-02-10,5.028,46.908,4757298078.0,39440500.0,167145866.0,30000000.0,2.419,0.988,0.7,1.035,6,Technology,Semiconductors,1B-10B,7163981667.0,94.02,98.11
2026-01,RRX,2026-01-28,2026-02-10,4.604,44.084,10434114816.0,118793246.0,295693939.0,30000000.0,2.509,0.997,0.9,0.314,3,Industrials,Industrial - Machinery,10B-100B,14068147786.0,107.13,99.51
2026-01,CHTR,2026-01-28,2026-02-10,4.451,35.63,25316359561.0,452308502.0,643391716.0,30000000.0,2.165,0.996,0.7,0.241,2,Communication Services,Telecommunications Services,10B-100B,20466630816.0,84.96,64.37
2026-01,LBRDK,2026-01-28,2026-02-10,4.444,35.456,6106457567.0,60726488.0,87329563.0,30000000.0,2.159,0.997,0.8,0.251,2,Communication Services,Telecommunications Services,1B-10B,4944552322.0,88.73,104.66
2026-01,GOLD,2026-01-27,2026-02-09,4.421,45.442,1293941090.0,31947075.0,68463670.0,30000000.0,2.68,0.962,0.5,0.396,1,Financial Services,Financial - Capital Markets,1B-10B,1097383470.0,60.36,66.97
2026-01,ESE,2026-01-29,2026-02-11,4.34,26.957,5954989025.0,36338731.0,63482563.0,30000000.0,1.739,0.997,0.8,0.254,1,Technology,"Hardware, Equipment & Parts",1B-10B,7713052187.0,99.23,99.41
2026-01,GLW,2026-01-27,2026-02-09,4.194,38.378,94446395313.0,1119970863.0,1374499301.0,30000000.0,2.449,0.993,0.7,0.446,1,Technology,"Hardware, Equipment & Parts",10B-100B,178487679278.0,73.67,91.76
2025-12,CAPR,2025-12-03,2025-12-16,7.087,309.119,1732889442.0,33219360.0,54593855.0,21031184.0,6.286,0.645,0.5,1.1,1,Healthcare,Biotechnology,1B-10B,1845099239.0,59.66,83.83
2025-12,RVMD,2025-12-31,2026-01-14,6.188,52.153,16933308231.0,67298754.0,456653404.0,21031184.0,2.145,0.993,0.6,0.6,9,Healthcare,Biotechnology,10B-100B,30645780056.0,97.53,91.31
2025-12,WVE,2025-12-08,2025-12-19,5.764,113.351,3562877321.0,55271771.0,117311374.0,21031184.0,4.157,0.735,0.4,1.195,1,Healthcare,Biotechnology,1B-10B,1360126494.0,82.68,46.83
2025-12,SATS,2025-12-05,2025-12-18,4.772,37.705,23764226477.0,312373344.0,883684480.0,21031184.0,2.12,0.924,0.7,0.331,3,Technology,Communication Equipment,10B-100B,37425758625.0,112.19,86.18
2025-12,MIDD,2025-12-03,2025-12-16,4.48,25.567,5589958725.0,43619620.0,136978776.0,21031184.0,1.607,0.982,0.8,0.389,1,Industrials,Industrial - Machinery,1B-10B,7284662643.0,109.18,83.31
2025-11,BDX,2025-11-06,2025-11-19,8.389,37.883,30207496495.0,314080262.0,555306838.0,21031184.0,1.211,0.979,0.8,0.749,10,Healthcare,Medical - Instruments & Supplies,10B-100B,39443611450.0,99.19,99.69
2025-11,JAZZ,2025-11-11,2025-11-24,7.063,35.821,8602667896.0,114548840.0,236226264.0,21031184.0,1.371,0.989,0.6,0.611,7,Healthcare,Biotechnology,1B-10B,14029921729.0,107.92,96.9
